"sample_id","cell_type","technology","M1","M2_A","M2_B"
"human3_lib1.final_cell_0199","beta","inDrop3",0.896289988130222,0.857023250912911,0.455583473155398
"human3_lib1.final_cell_0204","acinar","inDrop3",0.520822242121714,0.505330600028378,0.455390067190387
"human3_lib1.final_cell_0217","delta","inDrop3",0.959183769281163,0.959183631417194,0.455336250666363
"human3_lib1.final_cell_0220","acinar","inDrop3",0.577588096766978,0.610532867351755,0.455308822929051
"human3_lib1.final_cell_0226","beta","inDrop3",0.886118343633519,0.854445146118995,0.455476822549868
"human3_lib1.final_cell_0230","acinar","inDrop3",0.585368113115763,0.61420508737794,0.455361130986968
"human3_lib1.final_cell_0231","activated_stellate","inDrop3",0.0612244812969305,0.163265299833312,0.455680754115448
"human3_lib1.final_cell_0246","acinar","inDrop3",0.576726461969397,0.611397963151794,0.455391368033012
"human3_lib1.final_cell_0254","alpha","inDrop3",0.796513481446595,0.795543468121583,0.455347859576425
"human3_lib1.final_cell_0262","activated_stellate","inDrop3",0.0620309407694861,0.163571268519349,0.45667104695057
"human3_lib1.final_cell_0272","delta","inDrop3",0.959183669333333,0.95877366954552,0.455663394068202
"human3_lib1.final_cell_0276","activated_stellate","inDrop3",0.0627962747152891,0.163933226621465,0.458313664825116
"human3_lib1.final_cell_0279","acinar","inDrop3",0.52821471696795,0.562123506735666,0.45541443610635
"human3_lib1.final_cell_0290","quiescent_stellate","inDrop3",0.204081330090384,0.225190238934783,0.45684512324871
"human3_lib1.final_cell_0308","ductal","inDrop3",0.244898353998992,0.326564635840115,0.455728829012947
"human3_lib1.final_cell_0320","endothelial","inDrop3",0.122448979591837,0.0388890487097792,0.455230299752805
"human3_lib1.final_cell_0326","acinar","inDrop3",0.585441656056972,0.615303378908073,0.455376615571326
"human3_lib1.final_cell_0329","beta","inDrop3",0.877617939229926,0.838184565718866,0.455551930724077
"human3_lib1.final_cell_0336","alpha","inDrop3",0.795924330651425,0.795916756295198,0.45536170823814
"human3_lib1.final_cell_0338","ductal","inDrop3",0.245024748183013,0.328420108587569,0.455619238807994
"human3_lib1.final_cell_0346","activated_stellate","inDrop3",0.020408163266183,0.102040824315275,0.457568468098799
"human3_lib1.final_cell_0361","activated_stellate","inDrop3",0.163432042077712,0.223842699864947,0.470565062285172
"human3_lib1.final_cell_0363","alpha","inDrop3",0.83672281540655,0.755125074645347,0.455322918497567
"human3_lib1.final_cell_0365","activated_stellate","inDrop3",0.0612243381247485,0.163265084670381,0.455913776311372
"human3_lib1.final_cell_0367","alpha","inDrop3",0.817201860412729,0.775623262713288,0.455470945874426
"human3_lib1.final_cell_0376","ductal","inDrop3",0.285242538537456,0.347064480101663,0.455485298324151
"human3_lib1.final_cell_0381","activated_stellate","inDrop3",0.0612191301469915,0.163256877351495,0.455421700705795
"human3_lib1.final_cell_0385","acinar","inDrop3",0.560694304672669,0.553726835251517,0.455393705188286
"human3_lib1.final_cell_0386","alpha","inDrop3",0.796403087541876,0.79557873065445,0.455316847129904
"human3_lib1.final_cell_0392","activated_stellate","inDrop3",0.0816328499674751,0.183673396418198,0.455991723426457
"human3_lib1.final_cell_0397","activated_stellate","inDrop3",0.18366382868156,0.204081748939978,0.456546056180885
"human3_lib1.final_cell_0406","delta","inDrop3",0.959227411664118,0.959188332432735,0.455496676715492
"human3_lib1.final_cell_0413","alpha","inDrop3",0.814532259403893,0.776816407524424,0.456022825703641
"human3_lib1.final_cell_0430","delta","inDrop3",0.959183672656793,0.959066689878129,0.455343629114832
"human3_lib1.final_cell_0433","ductal","inDrop3",0.257958465848267,0.343409014889115,0.456299502778912
"human3_lib1.final_cell_0436","endothelial","inDrop3",0.122419936236917,0.0408166135449994,0.455216504222623
"human3_lib1.final_cell_0439","acinar","inDrop3",0.612134182184468,0.632240895345927,0.455362636993191
"human3_lib1.final_cell_0447","acinar","inDrop3",0.49244784999174,0.512363931085013,0.455369284634036
"human3_lib1.final_cell_0448","alpha","inDrop3",0.795925420288117,0.795916562659055,0.455419955380034
"human3_lib1.final_cell_0452","alpha","inDrop3",0.795924104784561,0.795917126400607,0.45540080326123
"human3_lib1.final_cell_0453","activated_stellate","inDrop3",0.0612247144275691,0.163265329030582,0.455257801317164
"human3_lib1.final_cell_0456","gamma","inDrop3",0.979591836486344,0.979591823555691,0.455799447588135
"human3_lib1.final_cell_0458","ductal","inDrop3",0.247222705177806,0.33955255911184,0.45525342835278
"human3_lib1.final_cell_0462","ductal","inDrop3",0.244905463475461,0.326816744857726,0.45525463952133
"human3_lib1.final_cell_0463","beta","inDrop3",0.897747673528981,0.85797019568918,0.455314766034787
"human3_lib1.final_cell_0466","alpha","inDrop3",0.79592428862703,0.795917143478363,0.4553415145013
"human3_lib1.final_cell_0469","ductal","inDrop3",0.244900677584037,0.326557167507866,0.455624151279724
"human3_lib1.final_cell_0470","activated_stellate","inDrop3",0.0607640923453344,0.162384890774185,0.456093468743259
"human3_lib1.final_cell_0475","alpha","inDrop3",0.829047011834289,0.774738700207978,0.455418977718144
"human3_lib1.final_cell_0480","ductal","inDrop3",0.286325856013864,0.36734583730237,0.455222912493927
"human3_lib1.final_cell_0481","alpha","inDrop3",0.795934372576573,0.79591341538708,0.455324923888503
"human3_lib1.final_cell_0489","macrophage","inDrop3",0.346938775510204,0.241321692147648,0.99999999254942
"human3_lib1.final_cell_0499","activated_stellate","inDrop3",0.04806450078254,0.145150997768973,0.45737803781374
"human3_lib1.final_cell_0501","endothelial","inDrop3",0.12241200008561,0.0408164947050675,0.455372858250941
"human3_lib1.final_cell_0505","acinar","inDrop3",0.607977506614053,0.62566074787448,0.455471321216691
"human3_lib1.final_cell_0506","alpha","inDrop3",0.795923578372825,0.7959170318527,0.455337465327308
"human3_lib1.final_cell_0512","gamma","inDrop3",0.979323966824352,0.976364977487111,0.455243701011556
"human3_lib1.final_cell_0515","ductal","inDrop3",0.276031156573463,0.34607311,0.455314412554221
"human3_lib1.final_cell_0520","endothelial","inDrop3",0.0902461582087622,0.0408203186950273,0.456646732119313
"human3_lib1.final_cell_0524","activated_stellate","inDrop3",0.0612246719231692,0.163265332306504,0.45535279457972
"human3_lib1.final_cell_0526","acinar","inDrop3",0.557390106637219,0.561237229298795,0.455389221017264
"human3_lib1.final_cell_0530","acinar","inDrop3",0.610266263544238,0.628449431793477,0.455381254408596
"human3_lib1.final_cell_0531","beta","inDrop3",0.8933262173566,0.856444641863139,0.455990626923461
"human3_lib1.final_cell_0535","delta","inDrop3",0.979591835631017,0.979591801788762,0.455334512898956
"human3_lib1.final_cell_0536","acinar","inDrop3",0.604339348318367,0.621441567225025,0.455524522954803
"human3_lib1.final_cell_0540","ductal","inDrop3",0.244897968433642,0.326532505801572,0.455863735410327
"human3_lib1.final_cell_0550","ductal","inDrop3",0.244899169121551,0.326590765673749,0.455597308555473
"human3_lib1.final_cell_0553","beta","inDrop3",0.897911783023836,0.859673860817046,0.455286249221365
"human3_lib1.final_cell_0556","macrophage","inDrop3",0.346938775510204,0.244897916339921,0.99999999254942
"human3_lib1.final_cell_0557","ductal","inDrop3",0.282709395080833,0.346813543078751,0.455649041007949
"human3_lib1.final_cell_0560","acinar","inDrop3",0.601291581383429,0.621585540815378,0.455410452100595
"human3_lib1.final_cell_0562","ductal","inDrop3",0.28567694324345,0.347134934251466,0.45551330051206
"human3_lib1.final_cell_0563","gamma","inDrop3",0.959183542629621,0.950842984325217,0.455307380984287
"human3_lib1.final_cell_0567","ductal","inDrop3",0.245313398346795,0.3317091506871,0.455258059882388
"human3_lib1.final_cell_0570","delta","inDrop3",0.959167307230139,0.939639904406506,0.455663541959391
"human3_lib1.final_cell_0580","acinar","inDrop3",0.608422279440795,0.627159446226338,0.455335310873854
"human3_lib1.final_cell_0583","delta","inDrop3",0.959183147135156,0.948432947409628,0.455505002624692
"human3_lib1.final_cell_0588","acinar","inDrop3",0.588777715898105,0.617886099092423,0.455620490582524
"human3_lib1.final_cell_0593","activated_stellate","inDrop3",0.182359300396544,0.201293087695847,0.463856692827435
"human3_lib1.final_cell_0596","activated_stellate","inDrop3",0.0612221147490356,0.163261295843856,0.455426240601459
"human3_lib1.final_cell_0598","acinar","inDrop3",0.612097153075458,0.632113045697166,0.455350460558075
"human3_lib1.final_cell_0600","alpha","inDrop3",0.803624742604626,0.787817856339781,0.455303475969002
"human3_lib1.final_cell_0604","activated_stellate","inDrop3",0.0612238863558215,0.163264528119612,0.455236733153553
"human3_lib1.final_cell_0605","endothelial","inDrop3",0.102040816326531,0.0816326592953839,0.455248281855809
"human3_lib1.final_cell_0606","beta","inDrop3",0.879050836282523,0.846705319920485,0.455600016461368
"human3_lib1.final_cell_0613","quiescent_stellate","inDrop3",0.183657311061481,0.204081728931139,0.455350393912658
"human3_lib1.final_cell_0614","ductal","inDrop3",0.377782517727092,0.317065262873999,0.455430219424575
"human3_lib1.final_cell_0625","acinar","inDrop3",0.600394145069357,0.624931294072634,0.455441706579006
"human3_lib1.final_cell_0629","alpha","inDrop3",0.795948315872067,0.795907620280468,0.455369270743055
"human3_lib1.final_cell_0633","endothelial","inDrop3",0.122448193513064,0.0408163450820596,0.456345932324723
"human3_lib1.final_cell_0634","ductal","inDrop3",0.244908305822678,0.326891834824916,0.455400835190528
"human3_lib1.final_cell_0639","activated_stellate","inDrop3",0.0816163518605975,0.183653027439922,0.45519063003417
"human3_lib1.final_cell_0643","gamma","inDrop3",0.959183672702917,0.959019956948671,0.455429895621512
"human3_lib1.final_cell_0646","ductal","inDrop3",0.244898074883258,0.326543539372491,0.455275445376378
"human3_lib1.final_cell_0647","mast","inDrop3",0.714285714285714,0.285714288907392,0.959183666627018
"human3_lib1.final_cell_0652","quiescent_stellate","inDrop3",0.163265969465416,0.224488576515052,0.455894567559374
"human3_lib1.final_cell_0653","activated_stellate","inDrop3",0.081624922392802,0.183664906521905,0.45522321819935
"human3_lib1.final_cell_0655","acinar","inDrop3",0.61205156921306,0.63200041450789,0.455321783454603
"human3_lib1.final_cell_0662","endothelial","inDrop3",0.122448601297266,0.0408163457010145,0.455310582891846
"human3_lib1.final_cell_0665","delta","inDrop3",0.999999988837774,0.999999988497667,0.455335076935705
"human3_lib1.final_cell_0669","activated_stellate","inDrop3",0.163363083161333,0.224495566451884,0.45587600018288
"human3_lib1.final_cell_0670","ductal","inDrop3",0.285312736760833,0.346917214553735,0.455478551803619
"human3_lib1.final_cell_0682","activated_stellate","inDrop3",0.0816330594175835,0.18367344739737,0.455282999514395
"human3_lib1.final_cell_0686","quiescent_stellate","inDrop3",0.163284067580457,0.224489579012602,0.45639772704113
"human3_lib1.final_cell_0689","alpha","inDrop3",0.795925303920589,0.795915652141348,0.455337739811803
"human3_lib1.final_cell_0691","activated_stellate","inDrop3",0.0408352902679788,0.142863184820071,0.455576860766044
"human3_lib1.final_cell_0692","alpha","inDrop3",0.795923322107509,0.795917147883371,0.455297997595603
"human3_lib1.final_cell_0697","endothelial","inDrop3",0.124070825731501,0.0204081704117813,0.455507411169366
"human3_lib1.final_cell_0700","quiescent_stellate","inDrop3",0.0817103262609656,0.183675450858933,0.456339716894473
"human3_lib1.final_cell_0702","ductal","inDrop3",0.248990445922088,0.34017061933374,0.455487577580952
"human3_lib1.final_cell_0704","quiescent_stellate","inDrop3",0.20408163717459,0.244623670199642,0.455338769986094
"human3_lib1.final_cell_0710","activated_stellate","inDrop3",0.183571235171021,0.203997164778021,0.455730885609415
"human3_lib1.final_cell_0711","ductal","inDrop3",0.301514006455413,0.358223947355284,0.455363270235871
"human3_lib1.final_cell_0716","alpha","inDrop3",0.830673357593959,0.77428456803635,0.455585016607213
"human3_lib1.final_cell_0720","endothelial","inDrop3",0.102040816326531,0.0816326592953839,0.455677932012461
"human3_lib1.final_cell_0725","endothelial","inDrop3",0.122448979591835,0.0408159960344636,0.455145326202067
"human3_lib1.final_cell_0733","gamma","inDrop3",0.95971605604345,0.959249531817726,0.455291273964658
"human3_lib1.final_cell_0734","endothelial","inDrop3",1.27836741813346e-08,0.0612244090041807,0.455150717791892
"human3_lib1.final_cell_0737","alpha","inDrop3",0.836616764155106,0.755538341254015,0.455589346148219
"human3_lib1.final_cell_0739","endothelial","inDrop3",0.122448979591837,0.0408163331194998,0.455193102080386
"human3_lib1.final_cell_0740","endothelial","inDrop3",0.122448979591837,0.0405981751336281,0.455191382131657
"human3_lib1.final_cell_0743","ductal","inDrop3",0.281204634140423,0.346676796523131,0.455624377795509
"human3_lib1.final_cell_0744","alpha","inDrop3",0.836639333234956,0.755240329323964,0.455537705245957
"human3_lib1.final_cell_0747","activated_stellate","inDrop3",0.183657234010743,0.204069613684002,0.456466446678862
"human3_lib1.final_cell_0749","quiescent_stellate","inDrop3",0.203159900293727,0.229765118804329,0.456393700415576
"human3_lib1.final_cell_0751","delta","inDrop3",0.938775378807768,0.91836349080477,0.455292714245493
"human3_lib1.final_cell_0753","activated_stellate","inDrop3",0.183645308062143,0.204081208953688,0.455595911786344
"human3_lib1.final_cell_0754","endothelial","inDrop3",0.122448979591837,0.0261445103040637,0.455641462061118
"human3_lib1.final_cell_0760","endothelial","inDrop3",0.102040816326529,0.0816326592953839,0.455241742941065
"human3_lib1.final_cell_0761","activated_stellate","inDrop3",0.0833156157807538,0.183689938566702,0.457575010541477
"human3_lib1.final_cell_0765","ductal","inDrop3",0.406670119362577,0.327039019946758,0.45530995023225
"human3_lib1.final_cell_0767","quiescent_stellate","inDrop3",0.18317289016202,0.204096585125084,0.455819193806365
"human3_lib1.final_cell_0769","alpha","inDrop3",0.795923713248536,0.795917215088234,0.455316730650708
"human3_lib1.final_cell_0774","endothelial","inDrop3",0.122448928233061,0.0408163370168622,0.455197067759758
"human3_lib1.final_cell_0780","alpha","inDrop3",0.795941494199583,0.795910073050731,0.455377076985478
"human3_lib1.final_cell_0784","quiescent_stellate","inDrop3",0.169058289535797,0.224613590843194,0.457060108431558
"human3_lib1.final_cell_0786","endothelial","inDrop3",0.122438295250581,0.0408165935480815,0.455346174347975
"human3_lib1.final_cell_0787","quiescent_stellate","inDrop3",0.179550578030762,0.204221247269709,0.456316111533991
"human3_lib1.final_cell_0792","alpha","inDrop3",0.796055206690771,0.795848682255601,0.455444821219599
"human3_lib1.final_cell_0793","ductal","inDrop3",0.245086727266669,0.326513217397033,0.455448122781948
"human3_lib1.final_cell_0794","acinar","inDrop3",0.611454096318883,0.630927886158964,0.455415385134342
"human3_lib1.final_cell_0798","endothelial","inDrop3",0.142857143026511,0.265306125946191,0.459176100235201
"human3_lib1.final_cell_0801","beta","inDrop3",0.876274372842228,0.836511024169022,0.455414134810928
"human3_lib1.final_cell_0802","quiescent_stellate","inDrop3",0.183660458796494,0.204080238907905,0.455281069314858
"human3_lib1.final_cell_0803","beta","inDrop3",0.877549629142851,0.836766056418637,0.455398411986558
"human3_lib1.final_cell_0810","acinar","inDrop3",0.611664893814346,0.631785211820615,0.45538545628283
"human3_lib1.final_cell_0816","delta","inDrop3",0.938775560077887,0.93877025296597,0.455325629623447
"human3_lib1.final_cell_0817","beta","inDrop3",0.877718191816193,0.839226046754052,0.455374206684115
"human3_lib1.final_cell_0820","activated_stellate","inDrop3",0.204083347319943,0.244897642395447,0.455676096252658
"human3_lib1.final_cell_0823","endothelial","inDrop3",0.122449299238757,0.0204081704117813,0.455159320295421
"human3_lib1.final_cell_0824","endothelial","inDrop3",0.122448979591837,0.0408163333729822,0.455302587009309
"human3_lib1.final_cell_0825","beta","inDrop3",0.870907741847834,0.835513681913651,0.455639626380671
"human3_lib1.final_cell_0831","endothelial","inDrop3",0.122187426987453,0.0408384897269812,0.455084400990365
"human3_lib1.final_cell_0834","beta","inDrop3",0.877595555179663,0.837537554009422,0.455400251507663
"human3_lib1.final_cell_0842","quiescent_stellate","inDrop3",0.163328210358734,0.223454892798062,0.460785616224746
"human3_lib1.final_cell_0848","quiescent_stellate","inDrop3",0.169228139323139,0.204510677284259,0.45519126245616
"human3_lib1.final_cell_0853","endothelial","inDrop3",0.204083716252074,0.265306123804701,0.457342317967062
"human3_lib1.final_cell_0855","endothelial","inDrop3",0.12244893942333,0.040816335540366,0.45583823149048
"human3_lib1.final_cell_0861","gamma","inDrop3",0.959133474490576,0.938986114399233,0.455339104126429
"human3_lib1.final_cell_0863","endothelial","inDrop3",0.142857142857143,0.265306125946191,0.462994891749907
"human3_lib1.final_cell_0864","endothelial","inDrop3",0.204081603140912,0.265306125475182,0.45714769970788
"human3_lib1.final_cell_0872","quiescent_stellate","inDrop3",0.203550012600557,0.242761822337441,0.455649380277685
"human3_lib1.final_cell_0884","endothelial","inDrop3",0.204081749770623,0.265306124809865,0.456411172833551
"human3_lib1.final_cell_0885","quiescent_stellate","inDrop3",0.203923544149955,0.244476166624812,0.455882886925572
"human3_lib1.final_cell_0886","beta","inDrop3",0.877716212753203,0.8391764854671,0.455411074030249
"human3_lib1.final_cell_0890","quiescent_stellate","inDrop3",0.16337766079798,0.223598439599151,0.455424953925138
"human3_lib1.final_cell_0891","endothelial","inDrop3",0.14285564065313,0.0204081704117813,0.455143942169067
"human3_lib1.final_cell_0895","ductal","inDrop3",0.387755101368138,0.306122467520507,0.455474660767791
"human3_lib1.final_cell_0896","endothelial","inDrop3",0.122449066485246,0.0204081704531694,0.455196538939378
"human3_lib1.final_cell_0897","endothelial","inDrop3",0.122448979647808,0.0204081838687122,0.455177856956047
"human3_lib2.final_cell_0001","acinar","inDrop3",0.496401686508164,0.458453237709972,0.45530988763322
"human3_lib2.final_cell_0002","acinar","inDrop3",0.510430594424698,0.488784507587473,0.455633714693658
"human3_lib2.final_cell_0003","acinar","inDrop3",0.51382934822396,0.491194976837396,0.455464525024592
"human3_lib2.final_cell_0004","acinar","inDrop3",0.510921012879462,0.48914377677025,0.455597130080383
"human3_lib2.final_cell_0006","acinar","inDrop3",0.516282887301012,0.493216070233006,0.455514802270858
"human3_lib2.final_cell_0008","acinar","inDrop3",0.523824995678592,0.498399974113652,0.455543619298102
"human3_lib2.final_cell_0016","delta","inDrop3",1,0.99999999254942,0.455504729205492
"human3_lib2.final_cell_0017","acinar","inDrop3",0.514882372077368,0.492956394429467,0.455375122130519
"human3_lib2.final_cell_0022","acinar","inDrop3",0.476922600747594,0.451583020781486,0.455325275146459
"human3_lib2.final_cell_0030","beta","inDrop3",0.897959183672506,0.877550824197538,0.455326454168645
"human3_lib2.final_cell_0032","acinar","inDrop3",0.555490950503533,0.543188608574126,0.455270339361775
"human3_lib2.final_cell_0034","acinar","inDrop3",0.592597410478492,0.616549877777687,0.455268978942895
"human3_lib2.final_cell_0035","acinar","inDrop3",0.511571957519016,0.490593813726792,0.45541175848544
"human3_lib2.final_cell_0036","acinar","inDrop3",0.408163266202711,0.244898681585054,0.455281666539523
"human3_lib2.final_cell_0040","beta","inDrop3",0.897957337170216,0.870224000115406,0.455256692107426
"human3_lib2.final_cell_0043","acinar","inDrop3",0.474068851794665,0.450146480538971,0.455268924990913
"human3_lib2.final_cell_0048","acinar","inDrop3",0.470977123606198,0.449443136077592,0.455521873028107
"human3_lib2.final_cell_0049","acinar","inDrop3",0.53134730343675,0.50395168319479,0.455219850937476
"human3_lib2.final_cell_0050","beta","inDrop3",0.897959183655625,0.877549353218513,0.455445886459713
"human3_lib2.final_cell_0052","acinar","inDrop3",0.511725701275623,0.491247560190569,0.455328931857091
"human3_lib2.final_cell_0054","acinar","inDrop3",0.557772066403884,0.558580747683904,0.455258156785178
"human3_lib2.final_cell_0057","acinar","inDrop3",0.509549835436717,0.486785128908488,0.455583368173288
"human3_lib2.final_cell_0058","acinar","inDrop3",0.540241153791556,0.514603896977825,0.4554576574417
"human3_lib2.final_cell_0060","acinar","inDrop3",0.535276077531971,0.509654511870134,0.455337745261847
"human3_lib2.final_cell_0063","acinar","inDrop3",0.573275913348629,0.606831910497721,0.455545599026576
"human3_lib2.final_cell_0066","delta","inDrop3",1,0.99999999254942,0.455231802503121
"human3_lib2.final_cell_0077","beta","inDrop3",0.894700160961694,0.856728325873015,0.455450751356643
"human3_lib2.final_cell_0079","acinar","inDrop3",0.49099711718382,0.458006144501233,0.455432462540033
"human3_lib2.final_cell_0086","acinar","inDrop3",0.48145263902127,0.456914878389772,0.455436907611443
"human3_lib2.final_cell_0088","acinar","inDrop3",0.485574530625895,0.45906196500255,0.455351302664594
"human3_lib2.final_cell_0096","acinar","inDrop3",0.572195402363735,0.608086818999752,0.455908913817866
"human3_lib2.final_cell_0098","acinar","inDrop3",0.573382876502064,0.605863302680573,0.455507478800995
"human3_lib2.final_cell_0100","acinar","inDrop3",0.575201962059816,0.611643847281619,0.455348628810228
"human3_lib2.final_cell_0102","acinar","inDrop3",0.57519946857593,0.611571464864545,0.455271330275179
"human3_lib2.final_cell_0105","acinar","inDrop3",0.469525841176868,0.449074548091326,0.457979951941968
"human3_lib2.final_cell_0107","acinar","inDrop3",0.573595938062024,0.610101145073115,0.455232484045266
"human3_lib2.final_cell_0108","acinar","inDrop3",0.509235320187563,0.48558652825294,0.455537897002126
"human3_lib2.final_cell_0115","acinar","inDrop3",0.506233639910829,0.48142524980016,0.455507553640284
"human3_lib2.final_cell_0126","acinar","inDrop3",0.562795818644993,0.565324522944633,0.455303669306228
"human3_lib2.final_cell_0130","acinar","inDrop3",0.584018931996012,0.614080311691421,0.455417774490482
"human3_lib2.final_cell_0134","acinar","inDrop3",0.571445485707248,0.603307914039104,0.455354954190331
"human3_lib2.final_cell_0135","acinar","inDrop3",0.507978560332815,0.482674603846357,0.455661242335917
"human3_lib2.final_cell_0136","delta","inDrop3",0.979591840201358,0.979591830484023,0.455294311419341
"human3_lib2.final_cell_0149","delta","inDrop3",0.97959187049478,0.979591841226124,0.455289475490772
"human3_lib2.final_cell_0155","delta","inDrop3",0.959184605483623,0.959183768396058,0.455747448922712
"human3_lib2.final_cell_0159","acinar","inDrop3",0.572362342409652,0.607800499269848,0.455372995777115
"human3_lib2.final_cell_0160","acinar","inDrop3",0.408163566221399,0.428571356937309,0.456500020873281
"human3_lib2.final_cell_0172","acinar","inDrop3",0.411282376164763,0.428572494606157,0.455362195032491
"human3_lib2.final_cell_0180","acinar","inDrop3",0.59749718316942,0.618939574065288,0.455335115940245
"human3_lib2.final_cell_0187","ductal","inDrop3",0.466824402840235,0.428666044128608,0.455410510732388
"human3_lib2.final_cell_0201","acinar","inDrop3",0.492582899094857,0.491481626144213,0.455490440011458
"human3_lib2.final_cell_0208","ductal","inDrop3",0.285714273243906,0.358219664714507,0.455577600241214
"human3_lib2.final_cell_0214","acinar","inDrop3",0.611150242944847,0.629687517615138,0.455306727070915
"human3_lib2.final_cell_0215","gamma","inDrop3",0.999999921744972,0.999999952665278,0.455369213036593
"human3_lib2.final_cell_0228","acinar","inDrop3",0.599299880873715,0.621191185847119,0.455425474171745
"human3_lib2.final_cell_0229","acinar","inDrop3",0.491642529141465,0.516857806789045,0.455282871676554
