"sample_id","cell_type","technology"
"human3_lib1.final_cell_0567","ductal","inDrop3"
"human3_lib1.final_cell_0570","delta","inDrop3"
"human3_lib1.final_cell_0580","acinar","inDrop3"
"human3_lib1.final_cell_0583","delta","inDrop3"
"human3_lib1.final_cell_0588","acinar","inDrop3"
"human3_lib1.final_cell_0593","activated_stellate","inDrop3"
"human3_lib1.final_cell_0596","activated_stellate","inDrop3"
"human3_lib1.final_cell_0598","acinar","inDrop3"
"human3_lib1.final_cell_0600","alpha","inDrop3"
"human3_lib1.final_cell_0604","activated_stellate","inDrop3"
"human3_lib1.final_cell_0605","endothelial","inDrop3"
"human3_lib1.final_cell_0606","beta","inDrop3"
"human3_lib1.final_cell_0613","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0614","ductal","inDrop3"
"human3_lib1.final_cell_0625","acinar","inDrop3"
"human3_lib1.final_cell_0629","alpha","inDrop3"
"human3_lib1.final_cell_0633","endothelial","inDrop3"
"human3_lib1.final_cell_0634","ductal","inDrop3"
"human3_lib1.final_cell_0639","activated_stellate","inDrop3"
"human3_lib1.final_cell_0643","gamma","inDrop3"
"human3_lib1.final_cell_0646","ductal","inDrop3"
"human3_lib1.final_cell_0647","mast","inDrop3"
"human3_lib1.final_cell_0652","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0653","activated_stellate","inDrop3"
"human3_lib1.final_cell_0655","acinar","inDrop3"
"human3_lib1.final_cell_0662","endothelial","inDrop3"
"human3_lib1.final_cell_0665","delta","inDrop3"
"human3_lib1.final_cell_0669","activated_stellate","inDrop3"
"human3_lib1.final_cell_0670","ductal","inDrop3"
"human3_lib1.final_cell_0682","activated_stellate","inDrop3"
"human3_lib1.final_cell_0686","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0689","alpha","inDrop3"
"human3_lib1.final_cell_0691","activated_stellate","inDrop3"
"human3_lib1.final_cell_0692","alpha","inDrop3"
"human3_lib1.final_cell_0697","endothelial","inDrop3"
"human3_lib1.final_cell_0700","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0702","ductal","inDrop3"
"human3_lib1.final_cell_0704","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0710","activated_stellate","inDrop3"
"human3_lib1.final_cell_0711","ductal","inDrop3"
"human3_lib1.final_cell_0716","alpha","inDrop3"
"human3_lib1.final_cell_0720","endothelial","inDrop3"
"human3_lib1.final_cell_0725","endothelial","inDrop3"
"human3_lib1.final_cell_0733","gamma","inDrop3"
"human3_lib1.final_cell_0734","endothelial","inDrop3"
"human3_lib1.final_cell_0737","alpha","inDrop3"
"human3_lib1.final_cell_0739","endothelial","inDrop3"
"human3_lib1.final_cell_0740","endothelial","inDrop3"
"human3_lib1.final_cell_0743","ductal","inDrop3"
"human3_lib1.final_cell_0744","alpha","inDrop3"
"human3_lib1.final_cell_0747","activated_stellate","inDrop3"
"human3_lib1.final_cell_0749","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0751","delta","inDrop3"
"human3_lib1.final_cell_0753","activated_stellate","inDrop3"
"human3_lib1.final_cell_0754","endothelial","inDrop3"
"human3_lib1.final_cell_0760","endothelial","inDrop3"
"human3_lib1.final_cell_0761","activated_stellate","inDrop3"
"human3_lib1.final_cell_0765","ductal","inDrop3"
"human3_lib1.final_cell_0767","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0769","alpha","inDrop3"
"human3_lib1.final_cell_0774","endothelial","inDrop3"
"human3_lib1.final_cell_0780","alpha","inDrop3"
"human3_lib1.final_cell_0784","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0786","endothelial","inDrop3"
"human3_lib1.final_cell_0787","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0792","alpha","inDrop3"
"human3_lib1.final_cell_0793","ductal","inDrop3"
"human3_lib1.final_cell_0794","acinar","inDrop3"
"human3_lib1.final_cell_0798","endothelial","inDrop3"
"human3_lib1.final_cell_0801","beta","inDrop3"
"human3_lib1.final_cell_0802","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0803","beta","inDrop3"
"human3_lib1.final_cell_0810","acinar","inDrop3"
"human3_lib1.final_cell_0816","delta","inDrop3"
"human3_lib1.final_cell_0817","beta","inDrop3"
"human3_lib1.final_cell_0820","activated_stellate","inDrop3"
"human3_lib1.final_cell_0823","endothelial","inDrop3"
"human3_lib1.final_cell_0824","endothelial","inDrop3"
"human3_lib1.final_cell_0825","beta","inDrop3"
"human3_lib1.final_cell_0831","endothelial","inDrop3"
"human3_lib1.final_cell_0834","beta","inDrop3"
"human3_lib1.final_cell_0842","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0848","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0853","endothelial","inDrop3"
"human3_lib1.final_cell_0855","endothelial","inDrop3"
"human3_lib1.final_cell_0861","gamma","inDrop3"
"human3_lib1.final_cell_0863","endothelial","inDrop3"
"human3_lib1.final_cell_0864","endothelial","inDrop3"
"human3_lib1.final_cell_0872","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0884","endothelial","inDrop3"
"human3_lib1.final_cell_0885","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0886","beta","inDrop3"
"human3_lib1.final_cell_0890","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0891","endothelial","inDrop3"
"human3_lib1.final_cell_0895","ductal","inDrop3"
"human3_lib1.final_cell_0896","endothelial","inDrop3"
"human3_lib1.final_cell_0897","endothelial","inDrop3"
"human3_lib2.final_cell_0001","acinar","inDrop3"
"human3_lib2.final_cell_0002","acinar","inDrop3"
"human3_lib2.final_cell_0003","acinar","inDrop3"
"human3_lib2.final_cell_0004","acinar","inDrop3"
"human3_lib2.final_cell_0006","acinar","inDrop3"
"human3_lib2.final_cell_0008","acinar","inDrop3"
"human3_lib2.final_cell_0016","delta","inDrop3"
"human3_lib2.final_cell_0017","acinar","inDrop3"
"human3_lib2.final_cell_0022","acinar","inDrop3"
"human3_lib2.final_cell_0030","beta","inDrop3"
"human3_lib2.final_cell_0032","acinar","inDrop3"
"human3_lib2.final_cell_0034","acinar","inDrop3"
"human3_lib2.final_cell_0035","acinar","inDrop3"
"human3_lib2.final_cell_0036","acinar","inDrop3"
"human3_lib2.final_cell_0040","beta","inDrop3"
"human3_lib2.final_cell_0043","acinar","inDrop3"
"human3_lib2.final_cell_0048","acinar","inDrop3"
"human3_lib2.final_cell_0049","acinar","inDrop3"
"human3_lib2.final_cell_0050","beta","inDrop3"
"human3_lib2.final_cell_0052","acinar","inDrop3"
"human3_lib2.final_cell_0054","acinar","inDrop3"
"human3_lib2.final_cell_0057","acinar","inDrop3"
"human3_lib2.final_cell_0058","acinar","inDrop3"
"human3_lib2.final_cell_0060","acinar","inDrop3"
"human3_lib2.final_cell_0063","acinar","inDrop3"
"human3_lib2.final_cell_0066","delta","inDrop3"
"human3_lib2.final_cell_0077","beta","inDrop3"
"human3_lib2.final_cell_0079","acinar","inDrop3"
"human3_lib2.final_cell_0086","acinar","inDrop3"
"human3_lib2.final_cell_0088","acinar","inDrop3"
"human3_lib2.final_cell_0096","acinar","inDrop3"
"human3_lib2.final_cell_0098","acinar","inDrop3"
"human3_lib2.final_cell_0100","acinar","inDrop3"
"human3_lib2.final_cell_0102","acinar","inDrop3"
"human3_lib2.final_cell_0105","acinar","inDrop3"
"human3_lib2.final_cell_0107","acinar","inDrop3"
"human3_lib2.final_cell_0108","acinar","inDrop3"
"human3_lib2.final_cell_0115","acinar","inDrop3"
"human3_lib2.final_cell_0126","acinar","inDrop3"
"human3_lib2.final_cell_0130","acinar","inDrop3"
"human3_lib2.final_cell_0134","acinar","inDrop3"
"human3_lib2.final_cell_0135","acinar","inDrop3"
"human3_lib2.final_cell_0136","delta","inDrop3"
"human3_lib2.final_cell_0149","delta","inDrop3"
"human3_lib2.final_cell_0155","delta","inDrop3"
"human3_lib2.final_cell_0159","acinar","inDrop3"
"human3_lib2.final_cell_0160","acinar","inDrop3"
"human3_lib2.final_cell_0172","acinar","inDrop3"
"human3_lib2.final_cell_0180","acinar","inDrop3"
"human3_lib2.final_cell_0187","ductal","inDrop3"
"human3_lib2.final_cell_0201","acinar","inDrop3"
"human3_lib2.final_cell_0208","ductal","inDrop3"
"human3_lib2.final_cell_0214","acinar","inDrop3"
"human3_lib2.final_cell_0215","gamma","inDrop3"
"human3_lib2.final_cell_0228","acinar","inDrop3"
"human3_lib2.final_cell_0229","acinar","inDrop3"
"human3_lib2.final_cell_0237","acinar","inDrop3"
"human3_lib2.final_cell_0239","activated_stellate","inDrop3"
"human3_lib2.final_cell_0245","delta","inDrop3"
"human3_lib2.final_cell_0248","alpha","inDrop3"
"human3_lib2.final_cell_0252","activated_stellate","inDrop3"
"human3_lib2.final_cell_0253","ductal","inDrop3"
"human3_lib2.final_cell_0257","acinar","inDrop3"
"human3_lib2.final_cell_0269","acinar","inDrop3"
"human3_lib2.final_cell_0270","acinar","inDrop3"
"human3_lib2.final_cell_0271","activated_stellate","inDrop3"
"human3_lib2.final_cell_0273","beta","inDrop3"
"human3_lib2.final_cell_0277","acinar","inDrop3"
"human3_lib2.final_cell_0283","acinar","inDrop3"
"human3_lib2.final_cell_0289","ductal","inDrop3"
"human3_lib2.final_cell_0294","activated_stellate","inDrop3"
"human3_lib2.final_cell_0298","acinar","inDrop3"
"human3_lib2.final_cell_0302","alpha","inDrop3"
"human3_lib2.final_cell_0311","delta","inDrop3"
"human3_lib2.final_cell_0314","alpha","inDrop3"
"human3_lib2.final_cell_0315","ductal","inDrop3"
"human3_lib2.final_cell_0316","ductal","inDrop3"
"human3_lib2.final_cell_0317","delta","inDrop3"
"human3_lib2.final_cell_0324","acinar","inDrop3"
"human3_lib2.final_cell_0340","ductal","inDrop3"
"human3_lib2.final_cell_0344","activated_stellate","inDrop3"
"human3_lib2.final_cell_0345","ductal","inDrop3"
"human3_lib2.final_cell_0351","beta","inDrop3"
"human3_lib2.final_cell_0354","beta","inDrop3"
"human3_lib2.final_cell_0359","acinar","inDrop3"
"human3_lib2.final_cell_0368","activated_stellate","inDrop3"
"human3_lib2.final_cell_0370","activated_stellate","inDrop3"
"human3_lib2.final_cell_0373","endothelial","inDrop3"
"human3_lib2.final_cell_0375","ductal","inDrop3"
"human3_lib2.final_cell_0376","alpha","inDrop3"
"human3_lib2.final_cell_0379","ductal","inDrop3"
"human3_lib2.final_cell_0397","alpha","inDrop3"
"human3_lib2.final_cell_0398","ductal","inDrop3"
"human3_lib2.final_cell_0404","alpha","inDrop3"
"human3_lib2.final_cell_0405","alpha","inDrop3"
"human3_lib2.final_cell_0406","ductal","inDrop3"
"human3_lib2.final_cell_0416","activated_stellate","inDrop3"
"human3_lib2.final_cell_0422","beta","inDrop3"
"human3_lib2.final_cell_0424","alpha","inDrop3"
"human3_lib2.final_cell_0429","endothelial","inDrop3"
"human3_lib2.final_cell_0432","gamma","inDrop3"
"human3_lib2.final_cell_0436","ductal","inDrop3"
"human3_lib2.final_cell_0437","delta","inDrop3"
"human3_lib2.final_cell_0441","activated_stellate","inDrop3"
"human3_lib2.final_cell_0444","alpha","inDrop3"
"human3_lib2.final_cell_0460","ductal","inDrop3"
"human3_lib2.final_cell_0461","activated_stellate","inDrop3"
"human3_lib2.final_cell_0465","beta","inDrop3"
"human3_lib2.final_cell_0477","acinar","inDrop3"
"human3_lib2.final_cell_0481","acinar","inDrop3"
"human3_lib2.final_cell_0486","acinar","inDrop3"
"human3_lib2.final_cell_0492","activated_stellate","inDrop3"
"human3_lib2.final_cell_0494","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0530","endothelial","inDrop3"
"human3_lib2.final_cell_0540","activated_stellate","inDrop3"
"human3_lib2.final_cell_0541","alpha","inDrop3"
"human3_lib2.final_cell_0544","endothelial","inDrop3"
"human3_lib2.final_cell_0546","beta","inDrop3"
"human3_lib2.final_cell_0558","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0565","alpha","inDrop3"
"human3_lib2.final_cell_0571","alpha","inDrop3"
"human3_lib2.final_cell_0573","beta","inDrop3"
"human3_lib2.final_cell_0575","alpha","inDrop3"
"human3_lib2.final_cell_0580","macrophage","inDrop3"
"human3_lib2.final_cell_0585","ductal","inDrop3"
"human3_lib2.final_cell_0586","acinar","inDrop3"
"human3_lib2.final_cell_0592","alpha","inDrop3"
"human3_lib2.final_cell_0593","activated_stellate","inDrop3"
"human3_lib2.final_cell_0594","beta","inDrop3"
"human3_lib2.final_cell_0597","alpha","inDrop3"
"human3_lib2.final_cell_0603","alpha","inDrop3"
"human3_lib2.final_cell_0605","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0608","acinar","inDrop3"
"human3_lib2.final_cell_0615","delta","inDrop3"
"human3_lib2.final_cell_0620","acinar","inDrop3"
"human3_lib2.final_cell_0621","activated_stellate","inDrop3"
"human3_lib2.final_cell_0623","acinar","inDrop3"
"human3_lib2.final_cell_0628","alpha","inDrop3"
"human3_lib2.final_cell_0629","alpha","inDrop3"
"human3_lib2.final_cell_0630","ductal","inDrop3"
"human3_lib2.final_cell_0633","alpha","inDrop3"
"human3_lib2.final_cell_0637","ductal","inDrop3"
"human3_lib2.final_cell_0638","acinar","inDrop3"
"human3_lib2.final_cell_0647","endothelial","inDrop3"
"human3_lib2.final_cell_0650","activated_stellate","inDrop3"
"human3_lib2.final_cell_0651","activated_stellate","inDrop3"
"human3_lib2.final_cell_0659","endothelial","inDrop3"
"human3_lib2.final_cell_0660","activated_stellate","inDrop3"
"human3_lib2.final_cell_0668","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0671","acinar","inDrop3"
"human3_lib2.final_cell_0673","mast","inDrop3"
"human3_lib2.final_cell_0681","activated_stellate","inDrop3"
"human3_lib2.final_cell_0682","alpha","inDrop3"
"human3_lib2.final_cell_0686","ductal","inDrop3"
"human3_lib2.final_cell_0693","ductal","inDrop3"
"human3_lib2.final_cell_0697","activated_stellate","inDrop3"
"human3_lib2.final_cell_0701","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0702","delta","inDrop3"
"human3_lib2.final_cell_0705","ductal","inDrop3"
"human3_lib2.final_cell_0710","acinar","inDrop3"
"human3_lib2.final_cell_0712","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0716","activated_stellate","inDrop3"
"human3_lib2.final_cell_0717","alpha","inDrop3"
"human3_lib2.final_cell_0720","acinar","inDrop3"
"human3_lib2.final_cell_0729","activated_stellate","inDrop3"
"human3_lib2.final_cell_0730","alpha","inDrop3"
"human3_lib2.final_cell_0737","macrophage","inDrop3"
"human3_lib2.final_cell_0746","alpha","inDrop3"
"human3_lib2.final_cell_0757","activated_stellate","inDrop3"
"human3_lib2.final_cell_0758","alpha","inDrop3"
"human3_lib2.final_cell_0759","beta","inDrop3"
"human3_lib2.final_cell_0760","activated_stellate","inDrop3"
"human3_lib2.final_cell_0762","acinar","inDrop3"
"human3_lib2.final_cell_0763","acinar","inDrop3"
"human3_lib2.final_cell_0766","endothelial","inDrop3"
"human3_lib2.final_cell_0767","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0771","activated_stellate","inDrop3"
"human3_lib2.final_cell_0776","delta","inDrop3"
"human3_lib2.final_cell_0778","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0788","gamma","inDrop3"
"human3_lib2.final_cell_0794","activated_stellate","inDrop3"
"human3_lib2.final_cell_0796","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0798","mast","inDrop3"
"human3_lib2.final_cell_0803","endothelial","inDrop3"
"human3_lib2.final_cell_0805","macrophage","inDrop3"
"human3_lib2.final_cell_0806","ductal","inDrop3"
"human3_lib2.final_cell_0813","mast","inDrop3"
"human3_lib2.final_cell_0815","alpha","inDrop3"
"human3_lib2.final_cell_0817","endothelial","inDrop3"
"human3_lib2.final_cell_0819","endothelial","inDrop3"
"human3_lib2.final_cell_0823","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0824","ductal","inDrop3"
"human3_lib2.final_cell_0832","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0833","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0836","delta","inDrop3"
"human3_lib2.final_cell_0843","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0845","beta","inDrop3"
"human3_lib2.final_cell_0846","endothelial","inDrop3"
"human3_lib2.final_cell_0847","activated_stellate","inDrop3"
"human3_lib2.final_cell_0851","alpha","inDrop3"
"human3_lib2.final_cell_0856","endothelial","inDrop3"
"human3_lib2.final_cell_0857","endothelial","inDrop3"
"human3_lib2.final_cell_0858","endothelial","inDrop3"
"human3_lib2.final_cell_0859","beta","inDrop3"
"human3_lib2.final_cell_0861","quiescent_stellate","inDrop3"
"human3_lib2.final_cell_0869","endothelial","inDrop3"
"human3_lib2.final_cell_0870","endothelial","inDrop3"
"human3_lib2.final_cell_0873","activated_stellate","inDrop3"
"human3_lib3.final_cell_0008","acinar","inDrop3"
"human3_lib3.final_cell_0011","acinar","inDrop3"
"human3_lib3.final_cell_0015","acinar","inDrop3"
"human3_lib3.final_cell_0017","acinar","inDrop3"
"human3_lib3.final_cell_0026","acinar","inDrop3"
"human3_lib3.final_cell_0030","acinar","inDrop3"
"human3_lib3.final_cell_0031","acinar","inDrop3"
"human3_lib3.final_cell_0040","acinar","inDrop3"
"human3_lib3.final_cell_0041","acinar","inDrop3"
"human3_lib3.final_cell_0058","acinar","inDrop3"
"human3_lib3.final_cell_0069","acinar","inDrop3"
"human3_lib3.final_cell_0071","acinar","inDrop3"
"human3_lib3.final_cell_0072","acinar","inDrop3"
"human3_lib3.final_cell_0073","acinar","inDrop3"
"human3_lib3.final_cell_0074","acinar","inDrop3"
"human3_lib3.final_cell_0078","acinar","inDrop3"
"human3_lib3.final_cell_0080","acinar","inDrop3"
"human3_lib3.final_cell_0081","acinar","inDrop3"
"human3_lib3.final_cell_0084","acinar","inDrop3"
"human3_lib3.final_cell_0088","acinar","inDrop3"
"human3_lib3.final_cell_0089","acinar","inDrop3"
"human3_lib3.final_cell_0092","acinar","inDrop3"
"human3_lib3.final_cell_0094","acinar","inDrop3"
"human3_lib3.final_cell_0096","acinar","inDrop3"
"human3_lib3.final_cell_0100","acinar","inDrop3"
"human3_lib3.final_cell_0101","acinar","inDrop3"
"human3_lib3.final_cell_0103","acinar","inDrop3"
"human3_lib3.final_cell_0112","beta","inDrop3"
"human3_lib3.final_cell_0117","activated_stellate","inDrop3"
"human3_lib3.final_cell_0118","acinar","inDrop3"
"human3_lib3.final_cell_0121","beta","inDrop3"
"human3_lib3.final_cell_0123","acinar","inDrop3"
"human3_lib3.final_cell_0124","beta","inDrop3"
"human3_lib3.final_cell_0129","acinar","inDrop3"
"human3_lib3.final_cell_0134","activated_stellate","inDrop3"
"human3_lib3.final_cell_0144","acinar","inDrop3"
"human3_lib3.final_cell_0146","endothelial","inDrop3"
"human3_lib3.final_cell_0154","activated_stellate","inDrop3"
"human3_lib3.final_cell_0156","acinar","inDrop3"
"human3_lib3.final_cell_0158","alpha","inDrop3"
"human3_lib3.final_cell_0164","acinar","inDrop3"
"human3_lib3.final_cell_0166","acinar","inDrop3"
"human3_lib3.final_cell_0174","acinar","inDrop3"
"human3_lib3.final_cell_0175","activated_stellate","inDrop3"
"human3_lib3.final_cell_0176","acinar","inDrop3"
"human3_lib3.final_cell_0182","activated_stellate","inDrop3"
"human3_lib3.final_cell_0187","beta","inDrop3"
"human3_lib3.final_cell_0195","acinar","inDrop3"
"human3_lib3.final_cell_0201","acinar","inDrop3"
"human3_lib3.final_cell_0203","acinar","inDrop3"
"human3_lib3.final_cell_0213","endothelial","inDrop3"
"human3_lib3.final_cell_0218","beta","inDrop3"
"human3_lib3.final_cell_0220","acinar","inDrop3"
"human3_lib3.final_cell_0221","acinar","inDrop3"
"human3_lib3.final_cell_0227","acinar","inDrop3"
"human3_lib3.final_cell_0230","ductal","inDrop3"
"human3_lib3.final_cell_0235","acinar","inDrop3"
"human3_lib3.final_cell_0236","beta","inDrop3"
"human3_lib3.final_cell_0237","gamma","inDrop3"
"human3_lib3.final_cell_0240","alpha","inDrop3"
"human3_lib3.final_cell_0242","alpha","inDrop3"
"human3_lib3.final_cell_0243","acinar","inDrop3"
"human3_lib3.final_cell_0244","ductal","inDrop3"
"human3_lib3.final_cell_0249","beta","inDrop3"
"human3_lib3.final_cell_0250","ductal","inDrop3"
"human3_lib3.final_cell_0258","acinar","inDrop3"
"human3_lib3.final_cell_0262","acinar","inDrop3"
"human3_lib3.final_cell_0263","beta","inDrop3"
"human3_lib3.final_cell_0265","activated_stellate","inDrop3"
"human3_lib3.final_cell_0266","acinar","inDrop3"
"human3_lib3.final_cell_0275","beta","inDrop3"
"human3_lib3.final_cell_0283","activated_stellate","inDrop3"
"human3_lib3.final_cell_0285","delta","inDrop3"
"human3_lib3.final_cell_0287","alpha","inDrop3"
"human3_lib3.final_cell_0289","acinar","inDrop3"
"human3_lib3.final_cell_0290","ductal","inDrop3"
"human3_lib3.final_cell_0292","endothelial","inDrop3"
"human3_lib3.final_cell_0306","acinar","inDrop3"
